pc_id,pc_name,ac_id,ac_name,Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid Votes,No fo rejected Votes (Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,44,Simulia,134,,,,,,,,14,317,2,452,2,1,3.0,3,794,0,6,800,0
7,Bhadrak,44,Simulia,135,,,,,,,,222,130,3,376,3,5,1.0,3,743,0,3,746,0
7,Bhadrak,44,Simulia,136,,,,,,,,297,211,8,413,4,0,3.0,2,938,0,4,942,0
7,Bhadrak,44,Simulia,137,,,,,,,,248,184,3,580,4,8,5.0,4,1036,0,12,1048,0
7,Bhadrak,44,Simulia,138,,,,,,,,177,103,2,867,6,18,1.0,1,1175,0,4,1179,0
7,Bhadrak,44,Simulia,139,,,,,,,,280,92,0,473,2,2,0.0,1,850,0,0,850,0
7,Bhadrak,44,Simulia,140,,,,,,,,172,486,6,342,6,4,4.0,5,1025,0,4,1029,0
7,Bhadrak,44,Simulia,141,,,,,,,,207,163,2,392,1,1,nan,3,769,0,5,774,0
7,Bhadrak,44,Simulia,142,,,,,,,,365,87,7,478,5,6,0.0,2,950,0,9,959,0
7,Bhadrak,44,Simulia,143,,,,,,,,374,12,0,510,4,1,3.0,1,905,0,4,909,0
