pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No. of rejected votes,NOTA,Total,No of tendered votes
4,Keonjhar,25,Patna,155,,,,,,,,13,362,212,9,0,0,0,0,0,1,1,3,2,0,2,1,606,nan,1,607,nan
4,Keonjhar,25,Patna,156,,,,,,,,4,353,176,6,0,2,0,1,0,9,1,1,2,1,4,0,560,nan,1,561,nan
4,Keonjhar,25,Patna,157,,,,,,,,4,258,137,8,2,0,3,0,2,7,1,0,6,2,3,0,433,nan,1,434,nan
4,Keonjhar,25,Patna,158,,,,,,,,9,366,298,11,2,1,3,3,1,2,5,7,6,4,4,4,726,nan,1,727,nan
4,Keonjhar,25,Patna,159,,,,,,,,14,548,193,8,7,1,2,4,4,2,3,0,3,1,1,1,792,nan,3,795,nan
4,Keonjhar,25,Patna,160,,,,,,,,15,504,158,11,0,3,1,2,0,9,1,1,3,0,0,1,709,nan,2,711,nan
4,Keonjhar,25,Patna,161,,,,,,,,12,140,480,5,2,1,0,1,1,0,2,0,2,1,1,0,648,nan,4,652,nan
4,Keonjhar,25,Patna,162,,,,,,,,5,846,64,5,0,0,1,0,0,0,0,0,0,0,1,0,922,nan,0,922,nan
4,Keonjhar,25,Patna,163,,,,,,,,7,187,446,39,4,3,4,3,6,9,1,6,9,9,32,7,772,nan,6,778,nan
4,Keonjhar,25,Patna,164,,,,,,,,10,322,214,22,2,4,4,7,4,4,2,1,7,1,17,6,627,nan,0,627,nan
4,Keonjhar,25,Patna,165,,,,,,,,9,285,409,6,1,3,1,3,5,5,2,2,3,2,10,8,754,nan,2,756,nan
4,Keonjhar,25,Patna,166,,,,,,,,9,392,197,15,1,2,3,7,5,8,3,2,6,1,2,1,654,nan,1,655,nan
4,Keonjhar,25,Patna,167,,,,,,,,8,558,263,17,3,3,3,6,3,14,3,9,17,4,6,12,929,nan,2,931,nan
4,Keonjhar,25,Patna,168,,,,,,,,6,455,190,7,0,1,0,3,2,4,0,1,1,1,5,7,683,nan,3,686,nan
4,Keonjhar,25,Patna,169,,,,,,,,0,449,130,3,2,0,1,3,1,4,1,0,2,1,28,0,625,nan,0,625,nan
4,Keonjhar,25,Patna,170,,,,,,,,7,443,282,18,0,1,2,5,3,3,4,2,1,1,11,4,787,nan,4,791,nan
4,Keonjhar,25,Patna,171,,,,,,,,2,248,223,2,0,0,1,2,0,2,0,0,1,0,8,3,492,nan,2,494,nan
4,Keonjhar,25,Patna,172,,,,,,,,2,730,211,14,0,0,2,4,0,4,1,1,3,1,16,0,989,nan,1,990,nan
4,Keonjhar,25,Patna,173,,,,,,,,2,383,56,9,0,0,2,1,7,1,0,2,1,3,9,4,480,nan,2,482,nan
4,Keonjhar,25,Patna,174,,,,,,,,4,436,142,3,0,2,4,3,1,1,0,1,3,4,3,0,607,nan,9,616,nan
4,Keonjhar,25,Patna,175,,,,,,,,12,496,228,6,3,2,3,3,1,5,1,1,2,3,14,0,780,nan,1,781,nan
4,Keonjhar,25,Patna,176,,,,,,,,2,293,203,7,3,4,1,3,2,6,1,2,0,0,1,0,528,nan,6,534,nan
4,Keonjhar,25,Patna,177,,,,,,,,4,327,268,6,2,2,0,2,1,6,3,2,3,6,6,1,639,nan,3,642,nan
4,Keonjhar,25,Patna,178,,,,,,,,2,287,173,7,2,2,2,4,1,6,1,10,4,2,38,4,545,nan,2,547,nan
4,Keonjhar,25,Patna,179,,,,,,,,3,314,101,6,0,1,0,3,0,5,0,1,0,0,9,0,443,nan,0,443,nan
4,Keonjhar,25,Patna,180,,,,,,,,4,561,174,16,0,1,1,0,2,2,0,2,1,1,8,0,773,nan,0,773,nan
4,Keonjhar,25,Patna,181,,,,,,,,14,501,322,7,1,3,9,4,0,1,1,1,1,0,1,0,866,nan,4,870,nan
4,Keonjhar,25,Patna,182,,,,,,,,6,536,283,6,0,3,0,3,3,2,1,0,0,2,3,5,853,nan,0,853,nan
4,Keonjhar,25,Patna,183,,,,,,,,4,470,178,14,1,0,0,4,2,3,1,0,5,1,3,0,686,nan,3,689,nan
4,Keonjhar,25,Patna,184,,,,,,,,4,374,124,6,0,1,2,2,1,0,0,1,1,0,5,2,523,nan,1,524,nan
4,Keonjhar,25,Patna,185,,,,,,,,7,310,292,14,1,0,0,3,2,8,0,0,5,1,4,1,648,nan,3,651,nan
4,Keonjhar,25,Patna,186,,,,,,,,5,339,239,26,1,3,2,2,0,4,0,0,1,1,9,0,632,nan,3,635,nan
4,Keonjhar,25,Patna,187,,,,,,,,4,374,134,10,2,1,1,3,0,4,0,0,1,2,4,5,545,nan,3,548,nan
4,Keonjhar,25,Patna,188,,,,,,,,7,392,298,18,0,3,2,2,1,7,1,1,2,1,3,0,738,nan,4,742,nan
