pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Unnamed: 10,Total Valid Votes,No. of Rejected Votes,NOTA,Total,No. of tendered votes
3,Sambalpur,17,Sambalpur,nan,,,,,,,,nan,"Dr. Aswini 
Kumar 
Pujahari","Jaya 
Narayan 
Mishra",Dilip Singh,"Dr. 
Raseswari 
Panigrahi","Laxman 
Kumar 
Bhoi","Jayabrata 
Dey","Jayashree 
Mishra","Prabhas 
Pruseth","Pragnya 
Patnaik",nan,nan,nan,nan,nan
3,Sambalpur,17,Sambalpur,20.0,,,,,,,,Sadeipali - 3,50,247,4,270,0,5,5,16,2,599.0,0.0,3.0,602.0,0.0
3,Sambalpur,17,Sambalpur,21.0,,,,,,,,Sadeipali - 4,93,254,1,239,3,1,1,11,5,608.0,0.0,7.0,615.0,0.0
3,Sambalpur,17,Sambalpur,22.0,,,,,,,,Sadeipali - 5,86,228,5,237,1,2,2,20,2,583.0,0.0,4.0,587.0,0.0
3,Sambalpur,17,Sambalpur,23.0,,,,,,,,Gaudapali - 1,70,500,5,510,5,8,6,7,8,1119.0,0.0,17.0,1136.0,0.0
3,Sambalpur,17,Sambalpur,24.0,,,,,,,,Gaudapali - 2,123,329,14,288,3,9,0,6,3,775.0,0.0,10.0,785.0,0.0
3,Sambalpur,17,Sambalpur,25.0,,,,,,,,Gaudapali - 3,88,283,2,215,0,6,0,1,1,596.0,0.0,1.0,597.0,0.0
3,Sambalpur,17,Sambalpur,26.0,,,,,,,,nan,"Pathan Bandh  Pada- 1
77",153,11,232,0,1,0,2,1,477.0,0.0,1.0,478.0,0.0
3,Sambalpur,17,Sambalpur,27.0,,,,,,,,nan,"Pathan Bandh Pada - 2
72",132,3,319,0,8,0,2,0,536.0,0.0,3.0,539.0,0.0
3,Sambalpur,17,Sambalpur,28.0,,,,,,,,nan,"Pathan Bandh Pada - 4
63",131,4,297,1,8,0,2,3,509.0,0.0,9.0,518.0,0.0
3,Sambalpur,17,Sambalpur,29.0,,,,,,,,nan,"Pathan Bandh Pada - 3
33",73,3,181,0,4,0,3,0,297.0,0.0,1.0,298.0,0.0
3,Sambalpur,17,Sambalpur,30.0,,,,,,,,Kirba - 1,98,296,10,423,0,4,3,6,5,845.0,0.0,18.0,863.0,0.0
3,Sambalpur,17,Sambalpur,31.0,,,,,,,,Kirba - 2,77,246,10,260,1,5,0,3,1,603.0,0.0,3.0,606.0,0.0
3,Sambalpur,17,Sambalpur,32.0,,,,,,,,Kirba -3,82,197,4,206,1,4,1,1,5,501.0,0.0,7.0,508.0,0.0
3,Sambalpur,17,Sambalpur,33.0,,,,,,,,Falsakata-1,74,458,9,222,0,2,1,0,2,768.0,0.0,7.0,775.0,0.0
3,Sambalpur,17,Sambalpur,34.0,,,,,,,,Falsakata-4,93,417,14,239,4,13,4,4,12,800.0,0.0,9.0,809.0,0.0
3,Sambalpur,17,Sambalpur,35.0,,,,,,,,Falsakata-2,49,230,3,240,1,1,0,1,1,526.0,0.0,1.0,527.0,0.0
3,Sambalpur,17,Sambalpur,36.0,,,,,,,,Falsakata-3,57,528,22,321,3,13,3,2,5,954.0,0.0,8.0,962.0,0.0
3,Sambalpur,17,Sambalpur,37.0,,,,,,,,nan,"Durgamandir Chhak -1
130",456,24,330,1,11,2,3,2,959.0,0.0,6.0,965.0,0.0
3,Sambalpur,17,Sambalpur,38.0,,,,,,,,nan,"Durgamandir Chhak -3
68",231,25,162,0,36,3,0,2,527.0,0.0,2.0,529.0,0.0
