pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No.of rejected votes,Votes for NOTA options,Total votes,Total No.of tendered votes
18,Bhubaneswar,119,Khurda,107,,,,,,,,5,13,457,39,271,2,1,4,1,3,796,0,4,800,0
18,Bhubaneswar,119,Khurda,108,,,,,,,,0,3,336,6,303,4,4,2,1,0,659,0,2,661,0
18,Bhubaneswar,119,Khurda,109,,,,,,,,2,7,361,13,286,2,0,3,1,1,676,0,4,680,0
18,Bhubaneswar,119,Khurda,110,,,,,,,,1,10,233,19,249,1,1,4,0,0,518,0,0,518,0
18,Bhubaneswar,119,Khurda,111,,,,,,,,2,10,527,69,279,2,1,4,8,2,904,0,5,909,0
18,Bhubaneswar,119,Khurda,112,,,,,,,,3,11,348,45,369,0,3,2,4,3,788,0,6,794,0
18,Bhubaneswar,119,Khurda,113,,,,,,,,1,0,215,3,122,1,0,0,1,0,343,0,1,344,0
18,Bhubaneswar,119,Khurda,114,,,,,,,,1,4,239,16,244,1,3,2,0,0,510,0,3,513,0
18,Bhubaneswar,119,Khurda,115,,,,,,,,0,2,257,14,265,2,4,0,2,0,546,0,4,550,0
18,Bhubaneswar,119,Khurda,116,,,,,,,,0,6,331,32,317,3,0,2,1,2,694,0,0,694,0
18,Bhubaneswar,119,Khurda,117,,,,,,,,0,12,382,21,266,0,3,1,0,2,687,0,1,688,0
18,Bhubaneswar,119,Khurda,118,,,,,,,,4,6,366,35,360,1,0,0,2,1,775,0,2,777,0
18,Bhubaneswar,119,Khurda,119,,,,,,,,0,0,233,13,384,4,2,2,2,0,640,0,0,640,0
18,Bhubaneswar,119,Khurda,120,,,,,,,,0,4,115,24,102,0,1,0,0,0,246,0,0,246,0
18,Bhubaneswar,119,Khurda,121,,,,,,,,1,6,278,9,400,1,2,3,0,5,705,0,4,709,0
18,Bhubaneswar,119,Khurda,122,,,,,,,,3,6,328,15,202,5,0,1,1,2,563,0,3,566,0
18,Bhubaneswar,119,Khurda,123,,,,,,,,2,3,334,19,324,3,1,1,1,4,692,0,1,693,0
18,Bhubaneswar,119,Khurda,124,,,,,,,,0,8,286,19,257,7,0,1,1,15,594,0,5,599,0
18,Bhubaneswar,119,Khurda,125,,,,,,,,4,6,270,24,322,2,3,2,0,14,647,0,4,651,0
18,Bhubaneswar,119,Khurda,126,,,,,,,,1,2,299,9,211,3,0,0,0,5,530,0,4,534,0
18,Bhubaneswar,119,Khurda,127,,,,,,,,0,2,318,12,314,2,1,0,1,8,658,0,4,662,0
18,Bhubaneswar,119,Khurda,128,,,,,,,,2,4,402,21,384,4,6,2,1,9,835,0,9,844,0
18,Bhubaneswar,119,Khurda,129,,,,,,,,2,61,323,35,469,4,0,2,1,5,902,0,3,905,0
18,Bhubaneswar,119,Khurda,130,,,,,,,,0,6,342,19,192,1,0,0,1,0,561,0,2,563,0
18,Bhubaneswar,119,Khurda,131,,,,,,,,0,10,218,18,198,1,1,0,1,1,448,0,0,448,0
18,Bhubaneswar,119,Khurda,132,,,,,,,,2,26,361,32,347,1,1,1,4,7,782,0,5,787,0
